id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Woche,Monat,Wochentag,Feiertag,Jahreszeit
1612111,2016-12-11,1,58.5289054212942,7.0,7.1875,7.0,61,0,49,12,7,0,4
1612121,2016-12-12,1,89.5461152835577,7.0,4.875,4.0,61,0,50,12,1,0,4
1612131,2016-12-13,1,86.1880456725954,7.0,6.285714,5.0,10,0,50,12,2,0,4
1612141,2016-12-14,1,75.4039519341152,7.0,4.625,6.0,45,0,50,12,3,0,4
1612151,2016-12-15,1,137.130260969332,7.0,0.0,8.0,49,0,50,12,4,0,4
1612161,2016-12-16,1,86.0242406261287,8.0,-1.0,5.0,10,0,50,12,5,0,4
1612181,2016-12-18,1,158.08476137293,7.0,7.0,8.0,0,0,50,12,7,0,4
1612191,2016-12-19,1,97.2450388316804,8.0,5.75,4.0,0,0,51,12,1,0,4
1612201,2016-12-20,1,82.2737744983917,8.0,1.5,7.0,10,0,51,12,2,0,4
1612211,2016-12-21,1,107.055526767408,6.0,3.625,10.0,10,0,51,12,3,0,4
1612221,2016-12-22,1,102.318594196839,7.0,5.25,8.0,61,0,51,12,4,0,1
1612231,2016-12-23,1,189.733379813939,7.0,6.375,9.0,10,0,51,12,5,0,1
1612241,2016-12-24,1,182.243850046631,6.0,6.125,14.0,95,0,51,12,6,0,1
1612271,2016-12-27,1,132.534941139693,6.0,8.25,21.0,61,0,52,12,2,0,1
1612281,2016-12-28,1,92.6053954826362,4.0,7.125,12.0,0,0,52,12,3,0,1
1612291,2016-12-29,1,281.809035845441,3.0,3.75,11.0,10,0,52,12,4,0,1
1612301,2016-12-30,1,130.743678525635,4.0,1.75,10.0,10,0,52,12,5,0,1
1612311,2016-12-31,1,288.843105743746,7.0,4.875,13.0,28,0,52,12,6,0,1
1701021,2017-01-02,1,127.942753867048,3.0,1.625,8.0,0,0,1,1,1,0,1
1701031,2017-01-03,1,89.4483348556559,7.0,6.0,16.0,61,0,1,1,2,0,1
1701041,2017-01-04,1,119.050990891285,4.0,4.0,19.0,20,0,1,1,3,0,1
1701051,2017-01-05,1,115.680238055479,4.0,-2.875,15.0,0,0,1,1,4,0,1
1701061,2017-01-06,1,101.303945374724,1.0,-4.25,6.0,61,0,1,1,5,0,1
1701071,2017-01-07,1,71.69205028378,8.0,-0.5,11.0,71,0,1,1,6,0,1
1701081,2017-01-08,1,54.8212865043727,8.0,2.25,4.0,10,0,1,1,7,0,1
1701091,2017-01-09,1,116.228031726541,8.0,2.5,6.0,20,0,2,1,1,0,1
1701101,2017-01-10,1,114.536612160932,7.0,2.625,9.0,10,0,2,1,2,0,1
1701111,2017-01-11,1,49.4763974006414,7.0,4.625,15.0,61,0,2,1,3,0,1
1701121,2017-01-12,1,73.7827205206854,4.0,4.5,16.0,61,0,2,1,4,0,1
1701131,2017-01-13,1,114.532728222355,3.0,3.125,7.0,61,0,2,1,5,0,1
