id,Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
,2012-01-01,,,,8.0,9.825,14,58
,2012-01-02,,,,7.0,7.4375,12,
,2012-01-03,,,,8.0,5.5375,18,63
,2012-01-04,,,,4.0,5.6875,19,80
,2012-01-05,,,,6.0,5.3,23,80
,2012-01-06,,,,3.0,2.625,10,
,2012-01-07,,,,7.0,6.528571,14,61
,2012-01-08,,,,7.0,5.9625,10,80
,2012-01-09,,,,8.0,5.15,12,61
,2012-01-10,,,,6.0,6.1125,10,
,2012-01-11,,,,6.0,7.8625,16,51
,2012-01-12,,,,7.0,7.4375,25,61
,2012-01-13,,,,2.0,4.8,18,
,2012-01-14,,,,3.0,2.8875,10,
,2012-01-15,,,,1.0,2.225,6,
,2012-01-16,,,,8.0,3.0625,6,61
,2012-01-17,,,,6.0,4.4875,10,
,2012-01-18,,,,7.0,2.35,12,51
,2012-01-19,,,,8.0,5.2625,16,80
,2012-01-20,,,,6.0,3.4375,12,26
,2012-01-21,,,,7.0,3.5375,16,68
,2012-01-22,,,,6.0,3.7875,12,21
,2012-01-23,,,,5.0,2.2125,4,10
,2012-01-24,,,,3.0,1.7625,6,
,2012-01-25,,,,3.0,-0.1875,8,
,2012-01-26,,,,2.0,0.3625,12,
,2012-01-27,,,,8.0,-1.0,10,71
,2012-01-28,,,,6.0,-1.3875,10,10
,2012-01-29,,,,7.0,-3.1625,8,71
,2012-01-30,,,,3.0,-2.275,12,
,2012-01-31,,,,1.0,-2.375,18,
,2012-02-01,,,,7.0,-1.825,16,71
,2012-02-02,,,,6.0,-5.85,8,85
,2012-02-03,,,,4.0,-5.85,14,3
,2012-02-04,,,,4.0,-7.5375,10,71
,2012-02-05,,,,5.0,-7.7125,8,
,2012-02-06,,,,4.0,-10.25,6,10
,2012-02-07,,,,6.0,-3.0,18,71
,2012-02-08,,,,6.0,-2.7625,10,
,2012-02-09,,,,6.0,-1.6625,21,3
,2012-02-10,,,,6.0,-2.8125,8,71
,2012-02-11,,,,7.0,-4.575,8,78
,2012-02-12,,,,8.0,-1.2375,16,72
,2012-02-13,,,,6.0,-2.325,8,10
,2012-02-14,,,,8.0,1.3,10,47
,2012-02-15,,,,1.0,4.8625,18,
,2012-02-16,,,,7.0,2.9625,10,61
,2012-02-17,,,,5.0,5.5625,14,
,2012-02-18,,,,8.0,6.175,14,61
,2012-02-19,,,,4.0,4.2,18,25
,2012-02-20,,,,5.0,4.1125,14,
,2012-02-21,,,,8.0,4.95,14,58
,2012-02-22,,,,7.0,7.175,18,51
,2012-02-23,,,,6.0,8.4125,18,
,2012-02-24,,,,7.0,8.35,19,20
,2012-02-25,,,,6.0,6.525,19,61
,2012-02-26,,,,1.0,4.675,8,
,2012-02-27,,,,8.0,3.725,12,61
,2012-02-28,,,,8.0,7.675,14,51
,2012-02-29,,,,8.0,7.775,10,47
,2012-03-01,,,,6.0,7.625,12,43
,2012-03-02,,,,7.0,5.9125,6,28
,2012-03-03,,,,5.0,7.0375,14,
,2012-03-04,,,,7.0,4.675,8,
,2012-03-05,,,,7.0,4.875,10,
,2012-03-06,,,,4.0,4.5125,10,
,2012-03-07,,,,7.0,4.05,10,61
,2012-03-08,,,,2.0,7.5125,14,
,2012-03-09,,,,8.0,7.825,14,10
,2012-03-10,,,,6.0,8.7,19,10
,2012-03-11,,,,6.0,8.95,14,
,2012-03-12,,,,5.0,9.0125,18,
,2012-03-13,,,,6.0,9.95,16,1
,2012-03-14,,,,7.0,7.7875,10,
,2012-03-15,,,,6.0,7.4,8,
,2012-03-16,,,,3.0,12.0375,14,10
,2012-03-17,,,,6.0,9.775,14,10
,2012-03-18,,,,7.0,9.8375,16,61
,2012-03-19,,,,4.0,8.1125,18,
,2012-03-20,,,,7.0,8.0875,18,51
,2012-03-21,,,,5.0,12.625,16,
,2012-03-22,,,,0.0,12.7625,6,2
,2012-03-23,,,,0.0,13.4875,6,
,2012-03-24,,,,5.0,7.8375,8,10
,2012-03-25,,,,0.0,13.1375,10,1
,2012-03-26,,,,7.0,8.4875,8,51
,2012-03-27,,,,4.0,15.5,10,
,2012-03-28,,,,3.0,14.8375,18,5
,2012-03-29,,,,6.0,8.9875,19,21
,2012-03-30,,,,3.0,9.9625,18,1
,2012-03-31,,,,4.0,6.1125,19,61
,2012-04-01,,,,7.0,6.525,19,25
,2012-04-02,,,,7.0,5.5875,16,
,2012-04-03,,,,7.0,3.3,10,22
,2012-04-04,,,,7.0,4.5875,18,21
,2012-04-05,,,,1.0,5.6375,10,
,2012-04-06,,,,7.0,6.2,18,61
,2012-04-07,,,,4.0,3.7125,19,
,2012-04-08,,,,2.0,5.75,10,
,2012-04-09,,,,8.0,6.5125,10,58
,2012-04-10,,,,8.0,10.5875,10,61
,2012-04-11,,,,7.0,10.475,12,
,2012-04-12,,,,6.0,9.575,12,81
,2012-04-13,,,,7.0,8.725,10,
,2012-04-14,,,,6.0,8.8125,8,25
,2012-04-15,,,,7.0,8.075,10,21
,2012-04-16,,,,4.0,7.5,16,80
,2012-04-17,,,,5.0,8.0375,12,
,2012-04-18,,,,6.0,9.6125,10,
,2012-04-19,,,,2.0,14.2375,14,
,2012-04-20,,,,6.0,9.225,10,95
,2012-04-21,,,,6.0,12.2,10,91
,2012-04-22,,,,6.0,9.9875,10,80
,2012-04-23,,,,6.0,9.95,10,81
,2012-04-24,,,,7.0,10.0,8,61
,2012-04-25,,,,6.0,11.6375,12,
,2012-04-26,,,,6.0,14.1875,14,60
,2012-04-27,,,,5.0,14.925,12,25
,2012-04-28,,,,6.0,9.5125,18,61
,2012-04-29,,,,7.0,11.4625,23,
,2012-04-30,,,,3.0,16.2375,8,
,2012-05-01,,,,5.0,13.4125,19,
,2012-05-02,,,,1.0,13.45,12,
,2012-05-03,,,,6.0,16.6,8,
,2012-05-04,,,,7.0,12.65,10,80
,2012-05-05,,,,2.0,10.5,8,
,2012-05-06,,,,5.0,8.6,8,
,2012-05-07,,,,7.0,7.575,6,61
,2012-05-08,,,,6.0,16.075,8,
,2012-05-09,,,,6.0,16.85,10,81
,2012-05-10,,,,7.0,17.85,12,61
,2012-05-11,,,,5.0,16.525,19,
,2012-05-12,,,,5.0,9.3875,23,80
,2012-05-13,,,,6.0,11.0125,10,
,2012-05-14,,,,6.0,14.525,12,
,2012-05-15,,,,7.0,11.45,10,
,2012-05-16,,,,6.0,8.8875,19,80
,2012-05-17,,,,4.0,10.8125,18,3
,2012-05-18,,,,6.0,16.2125,10,
,2012-05-19,,,,5.0,17.7625,6,
,2012-05-20,,,,6.0,18.475,10,
,2012-05-21,,,,5.0,18.514285,14,
,2012-05-22,,,,4.0,19.2,12,
,2012-05-23,,,,4.0,18.2375,14,
,2012-05-24,,,,0.0,18.8625,12,
,2012-05-25,,,,0.0,19.85,10,
,2012-05-26,,,,4.0,21.45,8,
,2012-05-27,,,,1.0,19.875,10,
,2012-05-28,,,,2.0,22.8375,14,
,2012-05-29,,,,4.0,15.35,12,
,2012-05-30,,,,6.0,12.9375,14,
,2012-05-31,,,,7.0,13.2625,10,61
,2012-06-01,,,,4.0,12.8875,19,25
,2012-06-02,,,,4.0,12.4625,16,25
,2012-06-03,,,,7.0,12.35,12,
,2012-06-04,,,,7.0,13.2125,14,
,2012-06-05,,,,5.0,13.2125,16,25
,2012-06-06,,,,7.0,13.8375,10,61
,2012-06-07,,,,7.0,15.1875,10,51
,2012-06-08,,,,4.0,19.3375,12,95
,2012-06-09,,,,6.0,14.6,14,61
,2012-06-10,,,,6.0,15.0,16,51
,2012-06-11,,,,3.0,16.525,8,
,2012-06-12,,,,7.0,14.1125,6,63
,2012-06-13,,,,4.0,15.1625,12,
,2012-06-14,,,,6.0,14.05,12,
,2012-06-15,,,,7.0,18.3125,8,63
,2012-06-16,,,1,6.0,18.4625,10,25
,2012-06-17,,,1,6.0,16.9625,14,25
,2012-06-18,,,1,6.0,19.5875,19,95
,2012-06-19,,,1,6.0,17.3125,6,
,2012-06-20,,,1,6.0,17.65,12,
,2012-06-21,,,1,4.0,18.5125,16,
,2012-06-22,,,1,4.0,18.325,14,29
,2012-06-23,,,1,6.0,16.8875,12,80
,2012-06-24,,,1,8.0,12.875,12,63
,2012-06-25,,,,6.0,13.8875,18,80
,2012-06-26,,,,6.0,14.3,18,20
,2012-06-27,,,,8.0,14.5625,10,
,2012-06-28,,,,6.0,18.2625,8,
,2012-06-29,,,,6.0,22.75,8,95
,2012-06-30,,,,5.0,23.1375,10,
,2012-07-01,,,,4.0,19.5125,14,
,2012-07-02,,,,6.0,19.4375,10,
,2012-07-03,,,,3.0,20.5375,12,
,2012-07-04,,,,5.0,19.95,12,
,2012-07-05,,,,7.0,17.2625,12,10
,2012-07-06,,,,7.0,18.5375,10,60
,2012-07-07,,,,7.0,20.7875,4,
,2012-07-08,,,,5.0,22.975,10,95
,2012-07-09,,,,7.0,16.5,16,61
,2012-07-10,,,,6.0,18.825,14,1
,2012-07-11,,,,6.0,17.15,14,29
,2012-07-12,,,,5.0,15.4875,14,81
,2012-07-13,,,,6.0,17.0875,6,21
,2012-07-14,,,,6.0,17.9125,19,25
,2012-07-15,,,,5.0,16.375,16,25
,2012-07-16,,,,5.0,16.875,16,80
,2012-07-17,,,,5.0,17.1375,18,80
,2012-07-18,,,,7.0,16.95,6,63
